"","object","original_response","cleaned_response","creativity"
"7686","brick","voorwerpen minder zwaar dan lucht aan de grond houden (ballon met helium)","voorwerpen minder zwaar lucht grond houden","2.3"
"7687","brick","een vriendje","vriendje","3.7"
"7688","brick","in het vuur leggen en als kachel gebruiken","vuur leggen kachel","3.1"
"7689","brick","vuurkorf","vuurkorf","3.1"
"7690","brick","vuurkorf van maken","vuurkorf","2.2"
"7691","brick","vuurplaats bouwen","vuurplaats bouwen","1.4"
"7692","brick","als dat iets is waar je in kan geloven","waar geloven","3.8"
"7693","brick","als iets waarop je kan zitten","waarop zitten","2.3"
"7694","brick","wall","wall","0"
"7695","brick","wand","wand","2.3"
"7696","brick","als iets wankel is","wankel","2.3"
"7697","brick","wapen","wapen","2.2"
"7698","brick","wapen","wapen","2.2"
"7699","brick","wapen","wapen","2.2"
"7700","brick","wapen","wapen","2.2"
"7701","brick","wapen","wapen","2.2"
"7702","brick","wapen","wapen","2.2"
"7703","brick","gebruiken als wapen","wapen","2.2"
"7704","brick","wapen","wapen","2.2"
"7705","brick","wapen","wapen","2.2"
"7706","brick","wapen","wapen","2.2"
"7707","brick","wapen","wapen","2.2"
"7708","brick","wapen","wapen","2.2"
"7709","brick","wapen","wapen","2.2"
"7710","brick","als wapen gebruiken","wapen","2.2"
"7711","brick","wapen","wapen","2.2"
"7712","brick","wapen","wapen","2.2"
"7713","brick","Wapem","wapen","2.2"
"7714","brick","wapen","wapen","2.2"
"7715","brick","wapen","wapen","2.2"
"7716","brick","wapen","wapen","2.2"
"7717","brick","wapen","wapen","2.2"
"7718","brick","wapen","wapen","2.2"
"7719","brick","wapen","wapen","2.2"
"7720","brick","wapen","wapen","2.2"
"7721","brick","als wapen","wapen","2.2"
"7722","brick","wapen","wapen","2.2"
"7723","brick","Als wapen","wapen","2.2"
"7724","brick","Wapen","wapen","2.2"
"7725","brick","wapen","wapen","2.2"
"7726","brick","wapen","wapen","2.2"
"7727","brick","wapen","wapen","2.2"
"7728","brick","wapen","wapen","2.2"
"7729","brick","wapen","wapen","2.2"
"7730","brick","wapen","wapen","2.2"
"7731","brick","wapen","wapen","2.2"
"7732","brick","een wapen","wapen","2.2"
"7733","brick","wapen","wapen","2.2"
"7734","brick","wapen","wapen","2.2"
"7735","brick","wapen","wapen","2.2"
"7736","brick","wapen","wapen","2.2"
"7737","brick","wassen","wassen","3.2"
"7738","brick","in het water gooien","water gooien","2.3"
"7739","brick","water omlijden","water omleiden","2.2"
"7740","brick","water tegenhouden","water tegenhouden","2.2"
"7741","brick","water tegenhouden","water tegenhouden","2.2"
"7742","brick","waterput maken","waterput","1.4"
"7743","brick","waterput","waterput","1.4"
"7744","brick","Wc papier\","wc papier","3.8"
"7745","brick","we","we","0"
"7746","brick","dit is wederom matthijs","wederom Matthijs","0"
"7747","brick","wedstrijdje wie het meest ver kan gooien","wedstrijdje meest ver gooien","2.3"
"7748","brick","ik weet niets meer","weet","0"
"7749","brick","weg","weg","1.4"
"7750","brick","weg","weg","1.4"
"7751","brick","weg maken","weg","1.4"
"7752","brick","weg afbakenen","weg afbakenen","2.3"
"7753","brick","een weg creeeren","weg cre<U+0091>ren","1.4"
"7754","brick","wegen","wegen","1.4"
"7755","brick","Wegen","wegen","1.4"
"7756","brick","wegen leggen","wegen leggen","1.4"
"7757","brick","wegwijzer","wegwijzer","3.1"
"7758","brick","werk","werk","2.8"
"7759","brick","Werpsport","werpsport","2.2"
"7760","brick","window","window","0"
"7761","brick","window","window","0"
"7762","brick","winkel","winkel","3.7"
"7763","brick","work out","work out","2.3"
"7764","brick","workout","workout","2.3"
"7765","brick","workout ding","workout ding","2.3"
"7766","brick","xcvcv","xcvcv","0"
"7767","brick","yoga","yoga","2.2"
"7768","brick","yoga steun","yoga steun","2.2"
"7769","brick","een yogablok","yogablok","2.2"
"7770","brick","om iets op z'n plek te houden","z n plek houden","2.3"
"7771","brick","zand","zand","2.9"
"7772","brick","zand maken","zand","2.9"
"7773","brick","zandbak","zandbak","2.2"
"7774","brick","zelf verdeging","zelfverdediging","2.1"
"7775","brick","zfhfnvds","zfhfnvds","0"
"7776","brick","ziegel","ziegel","0"
"7777","brick","zinken","zinken","2.3"
"7778","brick","zinken","zinken","2.3"
"7779","brick","zinkende boot","zinkende boot","2.3"
"7780","brick","zitbankje","zitbankje","2.2"
"7781","brick","zitje","zitje","2.2"
"7782","brick","zitje","zitje","2.2"
"7783","brick","zitje","zitje","2.2"
"7784","brick","zitplek","zitplek","2.2"
"7785","brick","een zitplek","zitplek","2.2"
"7786","brick","zitten","zitten","2.2"
"7787","brick","zitten","zitten","2.2"
"7788","brick","ZITTEN","zitten","2.2"
"7789","brick","op zitten","zitten","2.2"
"7790","brick","op zitten","zitten","2.2"
"7791","brick","zomer iglo","zomer iglo","4.1"
"7792","brick","zonne klok","zonneklok","3.9"
"7793","brick","zorgen dat de deur niet dichtvalt","zorgen deur niet dichtvalt","2.3"
"7794","brick","zorgen dat papier niet wegwaait","zorgen papier niet wegwaait","2.3"
"7795","brick","zorgen dat een tent niet weg waait","zorgen tent niet weg waait","2.3"
"7796","brick","een zal zwaar maken","zwaar","2.3"
"7797","brick","iets zwaar maken","zwaar","2.3"
"7798","brick","zwaar maken","zwaar","2.3"
"7799","brick","om iets zwaarder mee te maken","zwaarder","2.3"
"7800","brick","iets zwaarder maken","zwaarder","2.3"
"7801","brick","zwaarder maken","zwaarder","2.3"
"7802","brick","iets zwaarder maker zodat het zinkt of ergens blijft liggen","zwaarder maker zodat zinkt ergens blijft liggen","2.3"
"7803","brick","zware*","zware","2.3"
"7804","brick","zwaren schoenen","zware schoenen","4.1"
"7805","brick","gebruiken als",NA,"0"
"7806","brick","maken",NA,"0"
"7807","brick","???",NA,"0"
"7808","brick","54",NA,"0"
"7809","brick","door",NA,"0"
"7810","brick","een",NA,"0"
"7811","brick","gooi hem naar iemand","overgooien","3.1"
"7812","brick","gebruik hem te korte stoelpoot te steunen","ophogen","2.2"
"7813","brick","gebruik hem voor om je biceps te trainen (raaaaahhh!)","gewichtstraining","3.2"
"7814","brick","leg hem in de magnetron, doe hem in een zakje en zo maak je een kleine mini-heater voor een uurtje of zo","verwarming","4"
"7815","brick","slijp een mes eraan","slijpsteen","3"
"7816","brick","slijp je tanden ermee","slijpsteen","3"
"7817","brick","gebruik hem  boekensteun","boekensteun","1.4"
"7818","brick","gebruikt hem  actionfiguur om tegen  kwaad te vechten","personage","4"
"7819","brick","door een raam gooien","door een raam gooien","2.3"
"7820","brick","op iemand gooien","gooien (iemand)","3.1"
"7821","brick","ermee slaan","slaan","2.3"
"7822","brick","opstapelen","opstapelen","2.3"
"7823","brick","door midden breken","opbreken","3.1"
"7824","brick","bewerken'","figuur maken","2.2"
"7825","brick","er vormen in maken","figuur maken","3.1"
"7826","brick","ermee voetballen","voetballen","3.8"
"7827","brick","er hout mee bewerken","hout mee bewerken","4"
"7828","brick","in de lucht gooien en dan met een andere baksteen breken","mee breken","3"
"7829","brick","eigen hut van bakstenen bouwen","huis bouwen","1.4"
"7830","brick","er een hartje in bewerken","figuur maken","3.1"
"7831","brick","er mee goochelen","goochelen","4.8"
"7832","brick","ermee jongleren","jongleren","3"
"7833","brick","sportoefeningen ermee doen zo krachttraining voor je biceps","gewichtstraining","3.2"
"7834","brick","met bakstenen op je rug opdrukken","met bakstenen op je rug opdrukken","3.1"
"7835","brick","met een gekleurde baksteen schrijven","krijten","3.1"
"7836","brick","op iemand gooien","gooien (iemand)","3.1"
"7837","brick","speelgoed","speelgoed","3"
"7838","brick","opstapelen","opstapelen","2.3"
"7839","brick","huisje bouwen met bakstenen zonder cement","huis bouwen","1.4"
"7840","brick","houder om bijvoorbeeld een raket mee af te schieten","houder","3"
"7841","brick","baksteen in stukken breken","opbreken","3.1"
"7842","brick","ding met bakstenen bouwen waar je (met takken enz) vuur kan maken","vuurkorf","3.2"
"7843","brick","baksteen breken tot kleinere steentjes en dan in een vijver ofz gooien","opbreken","3.1"
"7844","brick","In kleinere stukjes is  beter te gooien op mensen","gooien","3.1"
"7845","brick","Naar een baksteen staren","naar een baksteen staren","4.1"
"7846","brick","baksteen van een hoge gebouw afgooien en kijken wat er mee gebeurd","gooien","3.1"
"7847","brick","er iets mee maken","bouwen","1.4"
"7848","brick","huis mee te bouwen","huis bouwen","1.4"
"7849","brick","gooien","gooien","3.1"
"7850","brick","decor","decoratie","3.1"
"7851","brick","er een kunstwerk mee maken","kunstwerk","3.1"
"7852","brick","er een toren mee maken","toren bouwen","2.3"
"7853","brick","omrollen","omrollen","3.1"
"7854","brick","moordwapen","wapen","3.1"
"7855","brick","laten zinken","verzwaren","2.3"
"7856","brick","steunpilaren","steunpilaar","1.4"
"7857","brick","gooien","gooien","3.1"
"7858","brick","slaan","slaan","2.3"
"7859","brick","accessoire","accessoire","3.8"
"7860","brick","kleding","kleding","3.7"
"7861","brick","versiering","decoratie","3.1"
"7862","brick","brug","brug","1.4"
"7863","brick","lamp","lamp","3.9"
"7864","brick","bril","bril","3.8"
"7865","brick","schoen","schoen","3.8"
"7866","brick","handschoen","handschoen","4.6"
"7867","brick","kussen","kussen","3"
"7868","brick","draaimolen","draaimolen","3"
"7869","brick","stoel","stoel","2.3"
"7870","brick","bed (mini bed)","bed","2.3"
"7871","brick","deksel","deksel","3.1"
"7872","brick","kookplaat","kookgerei","4"
"7873","brick","trap","kruk","2.2"
"7874","brick","versteviging voor iets","vastzetten","2.3"
"7875","brick","plateau","plateau","2.2"
"7876","brick","verhoging","verhogen","2.2"
"7877","brick","kunst","kunstwerk","3.1"
"7878","brick","voor in een aquarium","aquariumversiering","4.1"
"7879","brick","prullenbak","prullenbak","3.8"
"7880","brick","op te schrijven","erop schrijven","3.1"
"7881","brick","op te tekenen","erop schrijven","3.1"
"7882","brick","gooien","gooien","3.1"
"7883","brick","boekensteun","boekensteun","1.4"
"7884","brick","steun voor poot van tafel o.i.d.","ophogen","2.2"
"7885","brick","bouwmateriaal voor een fort","bouwen","1.4"
"7886","brick","canvas om op te schilderen/tekenen","erop schilderen","3.1"
"7887","brick","voetstuk","voetstuk","2.2"
"7888","brick","kussen om op te slapen","kussen","3"
"7889","brick","heel klein stoeltje","stoel","2.3"
"7890","brick","drum","drum","4"
"7891","brick","gooien","gooien","3.1"
"7892","brick","slaan","slaan","2.3"
"7893","brick","raam verduisteren","raam verduisteren","3.1"
"7894","brick","martelen","martelen","4"
"7895","brick","iemand ggraven op  strand","begraven","3"
"7896","brick","naar idiooten gooien","gooien (iemand)","3.1"
"7897","brick","op eten","eten","3.7"
"7898","brick","in je kont stoppen","butt plug","4.7"
"7899","brick","op je hoofd balanceeren","balanceren hoofd","4"
"7900","brick","doormig=ddenslaan","opbreken","3.1"
"7901","brick","doorzagen met een plank","doorzagen","2.9"
"7902","brick","draag kwalitiet van bv. glas testen","draag kwalitiet van bv. glas testen","4"
"7903","brick","steleten gvebruiken","stelten","3"
"7904","brick","barbecueen","barbeque","3.2"
"7905","brick","koken","kookgerei","4"
"7906","brick","opdienen met grint uit de bak voor  huis","opdienen met grint uit de bak voor  huis","2.2"
"7907","brick","op een deur leggen","ergens opleggen","2.3"
"7908","brick","ikets er mee vermorzelen","slaan (iemand)","3"
"7909","brick","er mee tegen elkaar slaan","tegen elkaar slaan","2.3"
"7910","brick","aan elkaar vast lijmen","aan elkaar vast lijmen","3"
"7911","brick","moordwapen","wapen","3.1"
"7912","brick","boot","boot","3.8"
"7913","brick","tv","tv","3.7"
"7914","brick","'boek","boek","3.7"
"7915","brick","kAST","kast","2.2"
"7916","brick","gebouw","bouwen","1.4"
"7917","brick","gewichtheffen","gewicht","3.2"
"7918","brick","houvast voor iets","houder","2.3"
"7919","brick","deur mee te steunen","deurstopper","1.4"
"7920","brick","deur dicht of open te houden","deurstopper","1.4"
"7921","brick","hameer","hamer","3.1"
"7922","brick","versiersel","decoratie","3.1"
"7923","brick","bal","bal","3.7"
"7924","brick","versiering","decoratie","3.1"
"7925","brick","iemand mee doden","slaan (iemand)","3.1"
"7926","brick","iemand mee opmaken","iemand opmaken","3.7"
"7927","brick","eten mee snijden","mes","3.9"
"7928","brick","stampot maken","stamper","4.1"
"7929","brick","diamantjes pletten","pletten","3.9"
"7930","brick","beugel kapotmaken","beugel kapotmaken","3.1"
"7931","brick","jongleren]","jongleren","3"
"7932","brick","muziekmaken","instrument","4"
"7933","brick","beker gebruiken bij wedstrydje","bokaal","4"
"7934","brick","je tas vol te laten lijken","je tas vol te laten lijken","4.1"
"7935","brick","iemand  straf bakstenen laten dragen","iemand straf bakstenen laten dragen","4"
"7936","brick","pop gebruiken","pop","4"
"7937","brick","schrijfding gebruiken","krijten","3.1"
"7938","brick","verven","erop schilderen","3.1"
"7939","brick","muizenval","muizenval","3.9"
"7940","brick","honden lokken","honden lokken","3.8"
"7941","brick","eten?:$","eten","3.7"
"7942","brick","in de oertijd die handelingen nadoen","in de oertijd die handelingen nadoen","3.1"
"7943","brick","kleding mee maken","kleding","3.7"
"7944","brick","scheren ?? whaha deden ze in oertyd","scheren","3.9"
"7945","brick","ei breken","ei breken","3.1"
"7946","brick","groente snijden","mes","3.9"
"7947","brick","trommelen","instrument","4"
"7948","brick","bord","bord","3.1"
"7949","brick","gooien","gooien","3.1"
"7950","brick","tekenen","krijten","3.1"
"7951","brick","bank","bank","2.2"
"7952","brick","voetsteen","voetenbankje","2.3"
"7953","brick","schoen","schoen","3.8"
"7954","brick","zool","schoen","3.9"
"7955","brick","bord","bord","3.1"
"7956","brick","lepel","lepel","3.9"
"7957","brick","roerlepel","lepel","3.9"
"7958","brick","handvat","handvat","4"
"7959","brick","bord","bord","3.1"
"7960","brick","zeephouder","zeephouder","3.2"
"7961","brick","glassenonderleger","onderzetter","2.3"
"7962","brick","opbergsteuntje","opbergsteuntje","2.2"
"7963","brick","bankhandvat","handvat","4"
"7964","brick","stoelhandvat","handvat","2.3"
"7965","brick","deurknop","deurknop","3.1"
"7966","brick","raket van maken","raket van maken","4.6"
"7967","brick","skateboard","skateboard","3.8"
"7968","brick","muts","muts","3.8"
"7969","brick","tekenen","krijten","3.1"
"7970","brick","bank","bank","2.2"
"7971","brick","bed","bed","2"
"7972","brick","ruggenkrabber","je rug mee krabben","4"
"7973","brick","douchekop","douchekop","4.8"
"7974","brick","op iemand gooien","gooien (iemand)","3.1"
"7975","brick","knuppel","knuppel","3.1"
"7976","brick","bal","bal","3.7"
"7977","brick","knuppel","knuppel","3.1"
"7978","brick","hockeybal","bal","3.7"
"7979","brick","voetsteuntje","voetenbankje","2.3"
"7980","brick","stoelpoot","pootje","1.4"
"7981","brick","fotolijstje","fotolijstje","4.9"
"7982","brick","deurknop","deurknop","3.1"
"7983","brick","deursteun","deurstopper","1.4"
"7984","brick","hamer","hamer","3.1"
"7985","brick","stoelverhoging","ophogen","2.2"
"7986","brick","verhoging voor je deur","verhogen","2.2"
"7987","brick","bal","bal","3.7"
"7988","brick","kies eruit te trekken","kies eruit te trekken","3.9"
"7989","brick","middel voor een inbraak","inbreken","3.1"
"7990","brick","moordwapen ( iemand die naar zijn hoofd krijgt, wordt hij er niet goed van )","wapen","3.1"
"7991","brick","snoep","snoep","3.7"
"7992","brick","hak (voor een schoen)","hak (voor een schoen)","4.8"
"7993","brick","taart","taart","3.7"
"7994","brick","huizen mee bouwen","huis bouwen","1.4"
"7995","brick","gat in maken en mensen begluren","gat mee maken","3.9"
"7996","brick","erop staan zodat je langer lijkt","erop staan","2.2"
"7997","brick","steeds optillen zodat je ermee traint","gewicht","3.2"
"7998","brick","op mensen gooien zodat ze dood gaan","gooien (iemand)","3.1"
"7999","brick","midden in de straat leggen waardoor auto's er tegen aanrijden","midden in de straat leggen waardoor auto's er tegen aanrijden","4"
"8000","brick","opeten  je een sterke maag hebt","eten","3.7"
"8001","brick","een helm  je <U+00B4>t  op je hoofd legt","helm","3.8"
"8002","brick","je rug ermee krabben","je rug mee krabben","4"
"8003","brick","erop slapen  je een hard matras wilt","matras","2.2"
"8004","brick","tegen aan slaan  je sterke knokkels wilt","tegen aan slaan  je sterke knokkels wilt","3.1"
"8005","brick","je kont ermee afvegen  wc papier op is","wcpapier","4.9"
"8006","brick","een baksteen door midden zagen en dan boeken er tussen leggen  een soort boeken kast","door zagen","2.1"
"8007","brick","je zou er een gat door heen kunnen maken en er glas op doen met de kleur van baksteen,  verwisselen met een andere baksteen die in de muur zit en zo doorheen kunnen kijken en dan kun je zien wat andere mensen doen","je zou er een gat door heen kunnen maken en er glas op doen met de kleur van baksteen,  verwisselen met een andere baksteen die in de muur zit en zo doorheen kunnen kijken en dan kun je zien wat andere mensen doen","2.1"
"8008","brick","er kleine piramides van maken voor decoratie","piramide","2.2"
"8009","brick","je zou er plakken uit kunnen snijden en in een tas doen","je tas vol te laten lijken","3.9"
"8010","brick","hoed","hoed","3.8"
"8011","brick","boekenlegger","boekenlegger","3.1"
"8012","brick","telefoon","telefoon","3.7"
"8013","brick","bord","bord","3.1"
"8014","brick","krijtbord","krijten","3.1"
"8015","brick","schoen","schoen","3.8"
"8016","brick","wapen","wapen","3.1"
"8017","brick","eten bijv. brood","eten","3.1"
"8018","brick","telefoon","telefoon","3.7"
"8019","brick","rekenmachine","rekenmachine","4.6"
"8020","brick","plank","plank","2.2"
"8021","brick","zonnebril","zonnebril","3.8"
"8022","brick","een wapen dus bijvoorbeeld door een raam heen te gooien","wapen","3.1"
"8023","brick","bakstsrtijkijzer","strijkijzer","4.9"
"8024","brick","een puf, (die je in de douche gebruikt btw)","eeltrasp","4"
"8025","brick","hoofddeksel, de nieuwste mode","hoed","3.8"
"8026","brick","een schoen","schoen","3.8"
"8027","brick","je vriend of vriendin, dus samen uitgaan ofzo","personage","3.9"
"8028","brick","de liefde van je leven","personage","3.9"
"8029","brick","kussen","kussen","3"
"8030","brick","deken","deken","2.9"
"8031","brick","massage voor je lichaam","massage voor je lichaam","4"
"8032","brick","gebruiken in een spa of hammam, ( helpt tegen de bacteri<eb>n en de dode huidcellen verdwijnen ja echt!)","eeltrasp","4"
"8033","brick","ring","ring","4.6"
"8034","brick","voedsel","eten","3.7"
"8035","brick","bord","bord","3.1"
"8036","brick","bestek","bestek","4.7"
"8037","brick","een bril","bril","3.8"
"8038","brick","kleding","kleding","3.7"
"8039","brick","voertuig","voertuig","3.8"
"8040","brick","boemerang ofzo","boemerang","3.7"
"8041","brick","boekenlegger","boekenlegger","3.1"
"8042","brick","onderzetter","onderzetter","2.3"
"8043","brick","voetsteun","voetenbankje","2.3"
"8044","brick","kussen op je bed","kussen","3"
"8045","brick","moordwapen","wapen","3.1"
"8046","brick","pan, er je eten op voorbereiden","kookgerei","4"
"8047","brick","onderzetter voor je muis bij de computer","muismat gebruiken","3.8"
"8048","brick","tegengewicht, bijv. deur dicht te houden","gewicht","2.3"
"8049","brick","gebruiken ruit mee in te slaan.","door een raam gooien","2.3"
"8050","brick","gebruiken deur mee open te houden","deurstopper","1.4"
"8051","brick","wapen","wapen","3.1"
"8052","brick","voetbal door ertegen te schoppen","voetballen","3.8"
"8053","brick","ermee spelen, door  in de lucht te gooien","spelen","3.1"
"8054","brick","krijt","krijten","3.1"
"8055","brick","lood om mee te duiken.","opduiken","3.1"
"8056","brick","op iemand gooien","gooien (iemand)","3.1"
"8057","brick","ondersteuner gebruiken","ondersteuner gebruiken","2.2"
"8058","brick","overgooien","overgooien","3.1"
"8059","brick","gooien in  water om daar rimpels in te maken","water spetteren","3.2"
"8060","brick","afbreken in andere dingen","opbreken","3.1"
"8061","brick","slaab","slaan","2.3"
"8062","brick","gooien","gooien","3.1"
"8063","brick","deur tegen houden","deurstopper","1.4"
"8064","brick","bouwen","bouwen","1.4"
"8065","brick","iets mee verbergen","iets mee verbergen","3"
"8066","brick","toetsenbord","toetsenbord","3.7"
"8067","brick","stoel","stoel","2.3"
"8068","brick","kozijn","kozijn","3.1"
"8069","brick","tas","tas","3.7"
"8070","brick","etui","etui","3.8"
"8071","brick","kunst mee maken","kunstwerk","3.1"
"8072","brick","deurklink","deurknop","3.1"
"8073","brick","laptop","laptop","4.6"
"8074","brick","telefoon","telefoon","3.7"
"8075","brick","afstandsbediening","afstandsbediening","4.6"
"8076","brick","ermee gooien","gooien","3.1"
"8077","brick","op zitten","stoel","2.3"
"8078","brick","spel spelen","speelgoed","3"
"8079","brick","beker op bewaren","bekerhouder","3.2"
"8080","brick","iemand slaan","slaan (iemand)","3.1"
"8081","brick","versieren","decoratie","3.1"
"8082","brick","versiering voor thuis gebruiken","decoratie","3.1"
"8083","brick","bed van maken","bed","2.3"
"8084","brick","spinnen en andere insecten mee doodmaken","slaan (iemand)","3.1"
"8085","brick","papier in bewaren  je bijvoorbeeld 2 opelkaar ze","papier in bewaren  je bijvoorbeeld 2 opelkaar ze","3.2"
"8086","brick","gooien","gooien","3.1"
"8087","brick","slaan","slaan","2.3"
"8088","brick","erop staan","erop staan","2.2"
"8089","brick","een bootje","boot","3.8"
"8090","brick","een frisbee","frisbee","3.8"
"8091","brick","pop van maken","pop","4"
"8092","brick","een pop","pop","4"
"8093","brick","autootje van maken","speelgoed auto","3"
"8094","brick","olifantje van maken","figuur maken","3.1"
"8095","brick","kleine stukjes van maken, en dan kan je  legoblokjes","lego","4"
"8096","brick","deurstop gebruiken","deurstopper","1.4"
"8097","brick","moordwapen","wapen","3.1"
"8098","brick","opstapje","opstapje","2.2"
"8099","brick","hoofdsteun","hoofdsteun","3"
"8100","brick","kussen","kussen","3"
"8101","brick","bescherming bij oorlogen etc.","bescherming","3.2"
"8102","brick","er een hoofddeksel mee maken","hoed","3.8"
"8103","brick","omvormen tot sieraden","sieraad","4.7"
"8104","brick","dingen mee te schuren","mee schurem","3.1"
"8105","brick","boksbal","boksbal","3.7"
"8106","brick","voetbal","voetballen","3.8"
"8107","brick","laten smelten en er ronde ballen mee maken","laten smelten en er ronde ballen mee maken","3.8"
"8108","brick","smelten en onderdeel van je vloer gebruiken","smelten","2.2"
"8109","brick","omvormen tot een bowlingbaL","bowlingbal","3.9"
"8110","brick","omvormen tot een tafel","tafel","2.3"
"8111","brick","omvormen tot een stoel","stoel","2.3"
"8112","brick","omvormen tot een krukje","kruk","2.2"
"8113","brick","gebruiken bij gips voor lichaamsdelen","gips","3.8"
"8114","brick","vervanging van geamputeerde lichaamsdelen","vervanging van geamputeerde lichaamsdelen","4.7"
"8115","brick","versiering gebruiken","decoratie","3.1"
"8116","brick","je kan <U+00B4>t  gebruiken als deurbel","deurbel","3"
"8117","brick","voetbal","voetballen","3.8"
"8118","brick","deurmat","deurmat","3.2"
"8119","brick","lineaal","lineaal","3.1"
"8120","brick","rekenmachine","rekenmachine","4.6"
"8121","brick","telefoon van maken","telefoon","3.7"
"8122","brick","baksteen overgooien","overgooien","3.1"
"8123","brick","halters","gewicht","3.2"
"8124","brick","een bal","bal","3.7"
"8125","brick","iemand ermee te slaan","slaan (iemand)","3.1"
"8126","brick","een liniaal","liniaal","3.1"
"8127","brick","gewicht ding balans te meten","gewicht","3.2"
"8128","brick","wat plat te maken","pletten","3.1"
"8129","brick","er een gat in maken en dan  potloodhouder gebruiken","pennenhouder","3.1"
"8130","brick","rode stoepkrijt","krijten","3.1"
"8131","brick","er figuren van te maken","figuur maken","3.1"
"8132","brick","speelgoed , bouwblokjes","speelgoed","3"
"8133","brick","gezichtjes op tekenen,","op schrijven","3.1"
"8134","brick","door een ruit gooien,","door een raam gooien","2.3"
"8135","brick","iemand de hersens inslaan.","slaan (iemand)","3.1"
"8136","brick","poppetjes van maken,","pop","4"
"8137","brick","beeldhouwen","beeldhouwen","3.9"
"8138","brick","metselen.","metselen.","1.4"
"8139","brick","kastelen bouwen.","kasteel bouwen","1.4"
"8140","brick","oorwurmen kweken door ze opelkaar te stapelen.","oorwurmen kweken door ze opelkaar te stapelen.","3.9"
"8141","brick","zand van maken door ze buiten te laten liggen-> erosie","Zand van maken door ze buiten te laten liggen-> erosie","3.1"
"8142","brick","poppetjes van maken.","pop","4"
"8143","brick","vloer gebruiken.","vloer","1.3"
"8144","brick","bord gebruiken.","bord","3.1"
"8145","brick","mechanismes mee stoppen.","Mechanismes mee stoppen.","3"
"8146","brick","treinongeluk veroorzaken.","treinongeluk veroorzaken.","4"
"8147","brick","stamper je een mortier hebt,","stamper","3.2"
"8148","brick","hoedje van maken,","hoed","3.8"
"8149","brick","op iemands hoofd slaan,","slaan (iemand)","3.1"
"8150","brick","moord plegen.","slaan (iemand)","3.1"
"8151","brick","zwaard gebruiken.","zwaard","2.9"
"8152","brick","plantenbak van maken.","plantenbak gebruiken","2.2"
"8153","brick","In je broekzak stoppen","In je broekzak stoppen","3.1"
"8154","brick","eekhoornhuis bouwen.","huis bouwen","1.4"
"8155","brick","In de oven stoppen.","bakken","2.2"
"8156","brick","oven van maken.","oventje van bouwen","3.2"
"8157","brick","In stukjes hakken kiezelstrand te maken.","opbreken","3.1"
"8158","brick","uithouwen en een zout en peperstel van maken,","peper en zoutstel","4.8"
"8159","brick","huis bouwen","huis bouwen","1.4"
"8160","brick","weg maken","wegafzetting","1.4"
"8161","brick","raam ingooien","door een raam gooien","2.3"
"8162","brick","voet voor standbeeld van maken","voetstuk","2.2"
"8163","brick","creatief mozaieken met stukjes steen","mozaieken","3.1"
"8164","brick","oventje van bouwen","oventje van bouwen","3.2"
"8165","brick","in dat oventje bak je de baksteen","bakken","3.1"
"8166","brick","beschilderen","erop schilderen","3.1"
"8167","brick","aankleden  pop","pop","4"
"8168","brick","voetballen","voetballen","3.8"
"8169","brick","overgooien","overgooien","3.1"
"8170","brick","vergooien","gooien","3.1"
"8171","brick","ketsen op  water","water spetteren","3.2"
"8172","brick","flesjesdraaien met een baksteen","flesjesdraaien met een baksteen","4"
"8173","brick","leraren extra vrije dagen bezorgen (AA)","leraren extra vrije dagen bezorgen (AA)","3.8"
"8174","brick","vervoeren in een tractortje","vervoeren in een tractortje","3.2"
"8175","brick","torentjes bouwen","toren bouwen","2.3"
"8176","brick","lego gebruiken","lego","4"
"8177","brick","door midden proberen te zagen  tijdsverdrijf","door zagen","3"
"8178","brick","die andere taak mee uitvoeren in  echt met die blokjes","die andere taak mee uitvoeren in  echt met die blokjes","4"
"8179","brick","jenga spelen","jenga spelen","3.1"
"8180","brick","insectenhotel gebruiken","insectenhotel gebruiken","4"
"8181","brick","onderlegger voor een fikkie","onderzetter","2.2"
"8182","brick","prijs uitreiken","bokaal","4"
"8183","brick","gebruiken voor een spiekbriefje","op schrijven","4"
"8184","brick","er een raam mee ingooien.","door een raam gooien","2.3"
"8185","brick","er op staan om ergen bij te kunnen.","ophogen","2.2"
"8186","brick","op zitten.","stoel","2.3"
"8187","brick","hem  kussen gebruiken.","kussen","3"
"8188","brick","dingen mee gladstrijken.","glad maken","4"
"8189","brick","ijs mee breken.","ijs mee breken","3.1"
"8190","brick","dingen mee malen.","maalsteen","3.1"
"8191","brick","dingen mee omgooien.","gooien","3.1"
"8192","brick","graan mee malen.","maalsteen","3.1"
"8193","brick","boekenlegger van maken.","boekenlegger","3.1"
"8194","brick","knuffel van maken.","knuffel","3.9"
"8195","brick","deur mee vastzetten.","deurstopper","1.4"
"8196","brick","gat mee dichten.","gat mee dichten","3.1"
"8197","brick","dingen zwaarder mee maken.","verzwaren","2.3"
"8198","brick","iemand over laten struikelen.","iemand over laten struikelen.","3.1"
"8199","brick","licht mee blokkeren.","licht mee blokkeren.","3.2"
"8200","brick","kieren mee dichten.","kieren mee dichten.","2.3"
"8201","brick","plastic mee op de grond houden.","verzwaren","2.3"
"8202","brick","dingen mee uit de boom gooien.","gooien","3.1"
"8203","brick","je vlieger mee aan de grond houden.","vastzetten","3.2"
"8204","brick","klein dier aan vastbinden.","klein dier aan vastbinden.","4"
